scenario,split,output_csv,reason_csv,functional_csv,reason_rows,functional_rows,output_rows,dropped_reason_rows,dropped_reason_rows_csv,use_evidence_loss_sum,merge_type,raw_csv,raw_rows,reason_unique_rows,reason_dup_rows,functional_unique_rows,functional_dup_rows
A,train,data/sms/evidence/keep/A_train.csv,data/sms/reason/A_train.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_train_batch/functional_keep.csv,40030,40030,40030,0,,16355,text_label_inner,,,,,,
A,validation,data/sms/evidence/keep/A_validation.csv,data/sms/reason/A_validation.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_validation_batch/functional_keep.csv,6101,6101,6101,0,,2881,text_label_inner,,,,,,
B,train,data/sms/evidence/keep/B_train.csv,data/sms/reason/B_train.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_train_batch/functional_keep.csv,24415,40030,24415,0,,8537,text_label_inner,,,,,,
B,validation,data/sms/evidence/keep/B_validation.csv,data/sms/reason/B_validation.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_validation_batch/functional_keep.csv,2565,6101,2565,0,,1513,text_label_inner,,,,,,
C,train,data/sms/evidence/keep/C_train.csv,data/sms/reason/C_train.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_train_batch/functional_keep.csv,28071,40030,28071,0,,12939,text_label_inner,,,,,,
C,validation,data/sms/evidence/keep/C_validation.csv,data/sms/reason/C_validation.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_validation_batch/functional_keep.csv,1577,6101,1577,0,,434,text_label_inner,,,,,,
D,train,data/sms/evidence/keep/D_train.csv,data/sms/reason/D_train.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_train_batch/functional_keep.csv,27574,40030,27574,0,,11234,text_label_inner,,,,,,
D,validation,data/sms/evidence/keep/D_validation.csv,data/sms/reason/D_validation.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_batch/gpt-4o-mini_sms_validation_batch/functional_keep.csv,1959,6101,1959,0,,934,text_label_inner,,,,,,
A,test,data/sms/evidence/keep/A_test.csv,data/sms/reason/A_test.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_A_test_batch/functional_keep.csv,6116,6116,6116,0,,2890,raw_reason_functional_left,data/sms/in_domain/test.csv,6116.0,6116.0,0.0,6116.0,0.0
A,challenge,data/sms/evidence/keep/A_challenge.csv,data/sms/reason/A_challenge.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_A_challenge_batch/functional_keep.csv,555,555,555,0,,216,raw_reason_functional_left,data/sms/in_domain/challenging.csv,555.0,546.0,9.0,546.0,9.0
B,test,data/sms/evidence/keep/B_test.csv,data/sms/reason/B_test.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_B_test_batch/functional_keep.csv,2586,2586,2586,0,,1527,raw_reason_functional_left,data/sms/ood/test/credit_test.csv,2586.0,2586.0,0.0,2586.0,0.0
B,challenge,data/sms/evidence/keep/B_challenge.csv,data/sms/reason/B_challenge.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_B_challenge_batch/functional_keep.csv,203,203,203,0,,85,raw_reason_functional_left,data/sms/ood/challenging/credit_challenging.csv,203.0,201.0,2.0,201.0,2.0
C,test,data/sms/evidence/keep/C_test.csv,data/sms/reason/C_test.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_C_test_batch/functional_keep.csv,1580,1580,1580,0,,441,raw_reason_functional_left,data/sms/ood/test/finance_test.csv,1580.0,1580.0,0.0,1580.0,0.0
C,challenge,data/sms/evidence/keep/C_challenge.csv,data/sms/reason/C_challenge.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_C_challenge_batch/functional_keep.csv,201,201,201,0,,86,raw_reason_functional_left,data/sms/ood/challenging/finance_challenging.csv,201.0,199.0,2.0,199.0,2.0
D,test,data/sms/evidence/keep/D_test.csv,data/sms/reason/D_test.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_D_test_batch/functional_keep.csv,1950,1950,1950,0,,923,raw_reason_functional_left,data/sms/ood/test/parcel_test.csv,1950.0,1950.0,0.0,1950.0,0.0
D,challenge,data/sms/evidence/keep/D_challenge.csv,data/sms/reason/D_challenge.csv,data/arc/teacher_gpt_4o_mini/sms/functional_label01_evalsets_batch/gpt-4o-mini_sms_D_challenge_batch/functional_keep.csv,151,151,151,0,,42,raw_reason_functional_left,data/sms/ood/challenging/parcel_challenging.csv,151.0,146.0,5.0,146.0,5.0
