scenario,split,output_csv,reason_csv,functional_csv,reason_rows,functional_rows,output_rows,dropped_reason_rows,dropped_reason_key_count,dropped_reason_rows_csv,use_evidence_loss_sum,merge_type
E,train,data/voice/evidence/keep/E_train.csv,data/voice/reason/E_train.csv,data/voice/evidence/keep/F_train.csv+data/voice/evidence/keep/G_train.csv,5659,5659,5659,0,0.0,,2941,E_train_concat_F_G_merged
E,validation,data/voice/evidence/keep/E_validation.csv,data/voice/reason/E_validation.csv,data/voice/evidence/keep/F_validation.csv+data/voice/evidence/keep/G_validation.csv,716,716,716,0,0.0,,366,E_validation_concat_F_G_merged
F,train,data/voice/evidence/keep/F_train.csv,data/voice/reason/F_train.csv,data/voice/ood/train/ood_train_government_functional_keep_pilot.csv,1706,1706,1706,0,,,851,text_label_inner
F,validation,data/voice/evidence/keep/F_validation.csv,data/voice/reason/F_validation.csv,data/voice/ood/validation/ood_validation_finance_functional_gold.csv,498,498,498,0,,,253,text_label_inner
G,train,data/voice/evidence/keep/G_train.csv,data/voice/reason/G_train.csv,data/voice/ood/train/ood_train_finance_functional_keep_pilot.csv,3953,3953,3953,0,,,2090,text_label_inner
G,validation,data/voice/evidence/keep/G_validation.csv,data/voice/reason/G_validation.csv,data/voice/ood/validation/ood_validation_government_functional_gold.csv,218,218,218,0,,,113,text_label_inner
E,test,data/voice/evidence/keep/E_test.csv,data/voice/reason/E_test.csv,data/arc/teacher_gpt_4o_mini/voice/teacher/functional_label01_evalsets_batch/gpt-4o-mini_voice_E_test_batch/functional_keep.csv,712,712,712,0,,,381,text_label_inner
E,challenge,data/voice/evidence/keep/E_challenge.csv,data/voice/reason/E_challenge.csv,data/arc/teacher_gpt_4o_mini/voice/teacher/functional_label01_evalsets_batch/gpt-4o-mini_voice_E_challenge_batch/functional_keep.csv,1361,1361,1361,0,,,664,text_label_inner
F,test,data/voice/evidence/keep/F_test.csv,data/voice/reason/F_test.csv,data/arc/teacher_gpt_4o_mini/voice/teacher/functional_label01_evalsets_batch/gpt-4o-mini_voice_F_test_batch/functional_keep.csv,497,497,497,0,,,269,text_label_inner
F,challenge,data/voice/evidence/keep/F_challenge.csv,data/voice/reason/F_challenge.csv,data/arc/teacher_gpt_4o_mini/voice/teacher/functional_label01_evalsets_batch/gpt-4o-mini_voice_F_challenge_batch/functional_keep.csv,455,455,455,0,,,217,text_label_inner
G,test,data/voice/evidence/keep/G_test.csv,data/voice/reason/G_test.csv,data/arc/teacher_gpt_4o_mini/voice/teacher/functional_label01_evalsets_batch/gpt-4o-mini_voice_G_test_batch/functional_keep.csv,215,215,215,0,,,111,text_label_inner
G,challenge,data/voice/evidence/keep/G_challenge.csv,data/voice/reason/G_challenge.csv,data/arc/teacher_gpt_4o_mini/voice/teacher/functional_label01_evalsets_batch/gpt-4o-mini_voice_G_challenge_batch/functional_keep.csv,906,906,906,0,,,446,text_label_inner
